Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Girardota,Residencial,1,alcantarillado,1379.54,526.57,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Abril
Todos,Todos,Todos,acueducto,0.00,0.00,0.00,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Itaguí,Residencial,4,acueducto,8565.91,1775.61,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Barbosa,Residencial,3,alcantarillado,4457.59,923.97,923.97,0.00,0.00,0.00,0.00,0.00,2017,Febrero
Sabaneta,Residencial,5,acueducto,12848.87,2660.56,2660.56,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Medellin,Residencial,5,acueducto,12848.87,2663.42,2663.42,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Itaguí,Residencial,1,acueducto,4711.25,976.59,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Barbosa,Residencial,2,alcantarillado,3672.77,815.47,1019.34,0.00,0.00,0.00,0.00,0.00,2017,Enero
Girardota,Residencial,6,acueducto,13705.46,2837.93,2837.93,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Barbosa,Residencial,1,acueducto,5996.14,916.26,1308.95,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Bello,Residencial,3,alcantarillado,4138.62,1584.59,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Diciembre
Bello,Residencial,3,acueducto,8565.91,1775.61,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Girardota,Residencial,6,alcantarillado,7357.55,2808.36,2808.36,0.00,0.00,0.00,0.00,0.00,2017,Mayo
Girardota,Oficial y Exenta,Oficial y Exenta,acueducto,8303.49,0.00,0.00,1719.77,10326.62,8851.87,16229.00,17703.74,2017,Marzo
Copacabana,Residencial,5,acueducto,13962.44,2894.25,2894.25,0.00,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Copacabana,Residencial,6,alcantarillado,8139.29,3106.75,3106.75,0.00,0.00,0.00,0.00,0.00,2017,Junio
Caldas,Residencial,1,acueducto,4625.59,813.59,1506.65,0.00,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Sabaneta,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,1755.23,0.00,0.00,0.00,0.00,2017,Abril
Girardota,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1775.61,10326.62,8851.87,16229.00,17703.74,2017,Diciembre
Barbosa,Residencial,6,acueducto,13705.46,2094.32,2094.32,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Bello,Residencial,1,acueducto,3426.37,710.25,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Girardota,Residencial,4,acueducto,8565.91,1773.70,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Bello,Comercial,Comercial,acueducto,13277.17,0.00,0.00,2752.20,10326.62,8851.87,16229.00,17703.74,2017,Octubre
La Estrella,Residencial,2,acueducto,5139.55,1064.22,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Mayo
La Estrella,Residencial,1,alcantarillado,2299.23,877.61,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Mayo
Copacabana,Residencial,2,acueducto,5310.86,1099.70,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Abril
Caldas,Residencial,6,acueducto,13285.58,2334.48,2334.48,0.00,10326.62,8851.87,16229.00,17703.74,2017,Marzo
La Estrella,Comercial,Comercial,acueducto,13277.17,0.00,0.00,2752.20,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Sabaneta,Residencial,2,acueducto,5139.55,1064.22,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
Sabaneta,Residencial,1,alcantarillado,1379.54,528.20,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Agosto
Caldas,Residencial,3,acueducto,8565.91,1504.74,1504.74,0.00,10326.62,8851.87,16229.00,17703.74,2017,Mayo
Bello,Residencial,3,acueducto,8303.49,1719.77,1719.77,0.00,10326.62,8851.87,16229.00,17703.74,2017,Marzo
Envigado,Residencial,5,alcantarillado,7265.58,2781.84,2781.84,0.00,0.00,0.00,0.00,0.00,2017,Noviembre
Girardota,Industrial,Industrial,acueducto,12848.87,0.00,0.00,2663.42,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Sabaneta,Comercial,Comercial,acueducto,13277.17,0.00,0.00,2749.24,10326.62,8851.87,16229.00,17703.74,2017,Junio
Itaguí,Comercial,Comercial,alcantarillado,6897.70,0.00,0.00,2640.98,0.00,0.00,0.00,0.00,2017,Septiembre
Itaguí,Industrial,Industrial,acueducto,11992.28,0.00,0.00,2485.86,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Itaguí,Residencial,4,acueducto,8565.91,1773.70,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
Sabaneta,Industrial,Industrial,acueducto,12309.21,0.00,0.00,2548.81,10326.62,8851.87,16229.00,17703.74,2017,Abril
Envigado,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,1760.66,0.00,0.00,0.00,0.00,2017,Diciembre
Sabaneta,Residencial,1,alcantarillado,1379.54,528.20,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Septiembre
Caldas,Comercial,Comercial,acueducto,12848.87,0.00,0.00,2257.12,10326.62,8851.87,16229.00,17703.74,2017,Abril
Girardota,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,1755.23,0.00,0.00,0.00,0.00,2017,Julio
La Estrella,Residencial,6,alcantarillado,7357.55,2808.36,2808.36,0.00,0.00,0.00,0.00,0.00,2017,Abril
Sabaneta,Residencial,1,acueducto,2569.77,532.68,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Agosto
Envigado,Residencial,5,acueducto,13277.16,2749.24,2749.24,0.00,10326.62,8851.87,16229.00,17703.74,2017,Abril
Caldas,Residencial,3,alcantarillado,4414.53,615.21,647.59,0.00,0.00,0.00,0.00,0.00,2017,Agosto
Caldas,Residencial,5,alcantarillado,6897.70,971.39,971.39,0.00,0.00,0.00,0.00,0.00,2017,Noviembre
Itaguí,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,1755.23,0.00,0.00,0.00,0.00,2017,Junio
Barbosa,Comercial,Comercial,alcantarillado,6897.70,0.00,0.00,1423.79,0.00,0.00,0.00,0.00,2017,Noviembre
Caldas,Residencial,1,acueducto,4625.59,812.56,1504.74,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Envigado,Oficial y Exenta,Oficial y Exenta,alcantarillado,4457.59,0.00,0.00,1702.36,0.00,0.00,0.00,0.00,2017,Febrero
Envigado,Residencial,5,acueducto,14133.76,2929.76,2929.76,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Medellin,Residencial,1,alcantarillado,1839.39,704.26,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Septiembre
La Estrella,Residencial,6,acueducto,13705.46,2840.98,2840.98,0.00,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Bello,Residencial,4,alcantarillado,4457.59,1702.36,1702.36,0.00,0.00,0.00,0.00,0.00,2017,Marzo
Caldas,Residencial,3,alcantarillado,4407.32,673.03,708.46,0.00,0.00,0.00,0.00,0.00,2017,Enero
Bello,Residencial,4,acueducto,8565.91,1773.70,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Abril
Sabaneta,Residencial,5,acueducto,12848.87,2663.42,2663.42,0.00,10326.62,8851.87,16229.00,17703.74,2017,Diciembre
Itaguí,Residencial,4,acueducto,8556.37,2046.93,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Medellin,Residencial,5,alcantarillado,6897.70,2632.84,2632.84,0.00,0.00,0.00,0.00,0.00,2017,Mayo
Copacabana,Residencial,2,alcantarillado,2674.55,1021.42,1702.36,0.00,0.00,0.00,0.00,0.00,2017,Marzo
Girardota,Residencial,4,alcantarillado,4598.47,1760.66,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Octubre
Bello,Industrial,Industrial,alcantarillado,6897.70,0.00,0.00,2640.98,0.00,0.00,0.00,0.00,2017,Agosto
Girardota,Residencial,1,alcantarillado,1379.54,526.57,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Mayo
Sabaneta,Residencial,3,acueducto,8308.94,1722.35,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Diciembre
Caldas,Residencial,5,acueducto,12848.87,2259.98,2259.98,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Caldas,Residencial,5,acueducto,12848.87,2257.12,2257.12,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Caldas,Industrial,Industrial,alcantarillado,5978.01,0.00,0.00,836.37,0.00,0.00,0.00,0.00,2017,Abril
Barbosa,Residencial,1,acueducto,5996.14,914.93,1307.04,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
Barbosa,Residencial,1,acueducto,5996.14,914.93,1307.04,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Itaguí,Residencial,5,acueducto,12848.87,2663.42,2663.42,0.00,10326.62,8851.87,16229.00,17703.74,2017,Diciembre
Girardota,Residencial,2,alcantarillado,2759.08,1053.14,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Junio
Envigado,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1773.70,10326.62,8851.87,16229.00,17703.74,2017,Mayo
Envigado,Residencial,1,alcantarillado,1379.54,528.20,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Agosto
